title,City,full_address,rank_in_city,total_in_rank_list,overall_rating,count_of_reviews,Excellet_count,VGood_count,Average_count,Poor_count,Terrible_count,full_link,link,rank_quartile,Room Count
Extended Stay America - Tampa - North Airport,Tampa,"5401 E Beaumont Center Blvd, Tampa, FL 33634-5210",136,164,2.5,52,8,6,3,5,28,https://www.tripadvisor.com/Hotel_Review-g34678-d217437-Reviews-Extended_Stay_America_Tampa_North_Airport-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d217437-Reviews-Extended_Stay_America_Tampa_North_Airport-Tampa_Florida.html,4,121
Econo Lodge Conference Center,Tampa,"820 E Busch Blvd, Tampa, FL 33612-8005",137,164,2,67,5,14,5,11,32,https://www.tripadvisor.com/Hotel_Review-g34678-d265939-Reviews-Econo_Lodge_Conference_Center-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d265939-Reviews-Econo_Lodge_Conference_Center-Tampa_Florida.html,4,257
Tampa Inn Near Busch Gardens,Tampa,"2901 E Busch Blvd, Tampa, FL 33612-8731",138,164,1.5,588,16,27,71,105,342,https://www.tripadvisor.com/Hotel_Review-g34678-d85852-Reviews-Tampa_Inn_Near_Busch_Gardens-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d85852-Reviews-Tampa_Inn_Near_Busch_Gardens-Tampa_Florida.html,4,174
Econo Lodge Airport at Raymond James Stadium,Tampa,"4732 N Dale Mabry Hwy, Tampa, FL 33614-6509",139,164,2,303,10,38,52,58,127,https://www.tripadvisor.com/Hotel_Review-g34678-d87700-Reviews-Econo_Lodge_Airport_at_Raymond_James_Stadium-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d87700-Reviews-Econo_Lodge_Airport_at_Raymond_James_Stadium-Tampa_Florida.html,4,187
Econo Lodge Busch Gardens,Tampa,"4139 E Busch Blvd, Tampa, FL 33617-5935",140,164,2,143,9,17,15,25,54,https://www.tripadvisor.com/Hotel_Review-g34678-d1176992-Reviews-Econo_Lodge_Busch_Gardens-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d1176992-Reviews-Econo_Lodge_Busch_Gardens-Tampa_Florida.html,4,99
Value Lodge Busch Gardens,Tampa,"210 E Fowler Ave, Tampa, FL 33612-5230",144,164,1.5,19,0,0,2,4,13,https://www.tripadvisor.com/Hotel_Review-g34678-d9997770-Reviews-Value_Lodge_Busch_Gardens-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d9997770-Reviews-Value_Lodge_Busch_Gardens-Tampa_Florida.html,4,
Value Inn,Tampa,"2523 E Busch Blvd, Tampa, FL 33612-8411",145,164,1.5,3,0,0,0,1,2,https://www.tripadvisor.com/Hotel_Review-g34678-d120496-Reviews-Value_Inn-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d120496-Reviews-Value_Inn-Tampa_Florida.html,4,162
Columbia Motel,Tampa,"1042 E Hillsborough Ave, Tampa, FL 33604-7204",147,164,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34678-d120485-Reviews-Columbia_Motel-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d120485-Reviews-Columbia_Motel-Tampa_Florida.html,4,19
Rodeway Inn Fairgrounds-Casino,Tampa,"6510 N US Highway 301, Tampa, FL 33610-9656",148,164,1,2,0,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g34678-d11679003-Reviews-Rodeway_Inn_Fairgrounds_Casino-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d11679003-Reviews-Rodeway_Inn_Fairgrounds_Casino-Tampa_Florida.html,4,
Haven Motel,Tampa,"7007 North Nebraska Ave., Tampa, FL 33604-4998",149,164,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34678-d120514-Reviews-Haven_Motel-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d120514-Reviews-Haven_Motel-Tampa_Florida.html,4,22
Orange Motel,Tampa,"7800 North Nebraska Ave., Tampa, FL 33604-4241",150,164,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34678-d120506-Reviews-Orange_Motel-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d120506-Reviews-Orange_Motel-Tampa_Florida.html,4,20
Open Gate Motel,Tampa,"4810 N Florida Ave, Tampa, FL 33603-2118",151,164,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34678-d120503-Reviews-Open_Gate_Motel-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d120503-Reviews-Open_Gate_Motel-Tampa_Florida.html,4,5
Dutch Motel,Tampa,"108 W Hillsborough Ave, Tampa, FL 33604-6925",152,164,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g34678-d120465-Reviews-Dutch_Motel-Tampa_Florida.html,https://www.tripadvisor.com/Hotel_Review-g34678-d120465-Reviews-Dutch_Motel-Tampa_Florida.html,4,15
Georgetown University Hotel and Conference Center,Washington,"3800 Reservoir Rd NW, Washington DC, DC 20007-2113",125,141,3.5,303,36,106,90,24,21,https://www.tripadvisor.com/Hotel_Review-g28970-d225099-Reviews-Georgetown_University_Hotel_and_Conference_Center-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d225099-Reviews-Georgetown_University_Hotel_and_Conference_Center-Washington_DC_District_of_Columbia.html,4,146
Windsor Park Hotel,Washington,"2116 Kalorama Rd NW, Washington DC, DC 20008-1689",126,141,3.5,214,26,72,40,18,23,https://www.tripadvisor.com/Hotel_Review-g28970-d75021-Reviews-Windsor_Park_Hotel-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d75021-Reviews-Windsor_Park_Hotel-Washington_DC_District_of_Columbia.html,4,43
Wyndham,Washington,"1400 M St NW, Washington DC, DC 20005-2704",127,141,4.5,11,5,3,0,0,0,https://www.tripadvisor.com/Hotel_Review-g28970-d1218625-Reviews-Wyndham-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d1218625-Reviews-Wyndham-Washington_DC_District_of_Columbia.html,4,406
Oakwood Lexington,Washington,"400 8th St NW, Washington DC, DC 20004-2105",128,141,4.5,3,1,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g28970-d247085-Reviews-Oakwood_Lexington-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d247085-Reviews-Oakwood_Lexington-Washington_DC_District_of_Columbia.html,4,135
Oakwood At The Flats At Dupont,Washington,"2000 N St NW, Washington DC, DC 20036-2336",129,141,4,1,0,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g28970-d1175946-Reviews-Oakwood_At_The_Flats_At_Dupont-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d1175946-Reviews-Oakwood_At_The_Flats_At_Dupont-Washington_DC_District_of_Columbia.html,4,39
Windsor Inn,Washington,"1842 16th St NW, Washington DC, DC 20009-3316",130,141,3,336,30,71,72,30,42,https://www.tripadvisor.com/Hotel_Review-g28970-d84044-Reviews-Windsor_Inn-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d84044-Reviews-Windsor_Inn-Washington_DC_District_of_Columbia.html,4,46
The Baron Hotel,Washington,"1523 22nd street NW, Washington DC, DC 20037",131,141,3,402,22,82,85,46,56,https://www.tripadvisor.com/Hotel_Review-g28970-d2329837-Reviews-The_Baron_Hotel-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d2329837-Reviews-The_Baron_Hotel-Washington_DC_District_of_Columbia.html,4,68
Quality Inn & Suites New York Avenue,Washington,"1600 New York Ave NE, Washington DC, DC 20002-1726",132,141,2.5,236,27,52,23,33,65,https://www.tripadvisor.com/Hotel_Review-g28970-d123974-Reviews-Quality_Inn_Suites_New_York_Avenue-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d123974-Reviews-Quality_Inn_Suites_New_York_Avenue-Washington_DC_District_of_Columbia.html,4,134
The Embassy Inn,Washington,"1627 16th St NW, Washington DC, DC 20009-3063",133,141,3,267,18,43,60,33,41,https://www.tripadvisor.com/Hotel_Review-g28970-d84042-Reviews-The_Embassy_Inn-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d84042-Reviews-The_Embassy_Inn-Washington_DC_District_of_Columbia.html,4,40
Days Inn Washington Dc/gateway,Washington,"2700 New York Ave NE, Washington DC, DC 20002-1951",134,141,2.5,125,13,24,29,23,28,https://www.tripadvisor.com/Hotel_Review-g28970-d217083-Reviews-Days_Inn_Washington_Dc_gateway-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d217083-Reviews-Days_Inn_Washington_Dc_gateway-Washington_DC_District_of_Columbia.html,4,193
Howard Johnson Inn Washington DC,Washington,"600 New York Ave NE, Washington DC, DC 20002-7022",135,141,2.5,230,9,23,48,41,64,https://www.tripadvisor.com/Hotel_Review-g28970-d84076-Reviews-Howard_Johnson_Inn_Washington_DC-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d84076-Reviews-Howard_Johnson_Inn_Washington_DC-Washington_DC_District_of_Columbia.html,4,49
District Hotel Washington,Washington,"1440 Rhode Island Ave NW, Washington DC, DC 20005-5401",136,141,2.5,597,19,55,88,74,178,https://www.tripadvisor.com/Hotel_Review-g28970-d1212709-Reviews-District_Hotel_Washington-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d1212709-Reviews-District_Hotel_Washington-Washington_DC_District_of_Columbia.html,4,58
Motel 6 Washington DC/Convention Center,Washington,"1345 4th St NE, Washington DC, DC 20002-7006",137,141,2,39,0,0,6,4,16,https://www.tripadvisor.com/Hotel_Review-g28970-d1528551-Reviews-Motel_6_Washington_DC_Convention_Center-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d1528551-Reviews-Motel_6_Washington_DC_Convention_Center-Washington_DC_District_of_Columbia.html,4,33
Motel 6 Washington DC,Washington,"6711 Georgia Ave NW, Washington DC, DC 20012-2515",138,141,2,116,7,8,9,11,53,https://www.tripadvisor.com/Hotel_Review-g28970-d84134-Reviews-Motel_6_Washington_DC-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d84134-Reviews-Motel_6_Washington_DC-Washington_DC_District_of_Columbia.html,4,72
Georgetown Hill Inn,Washington,"1832 Wisconsin Ave NW, Washington DC, DC 20007-2301",139,141,2,31,1,8,1,3,17,https://www.tripadvisor.com/Hotel_Review-g28970-d1095352-Reviews-Georgetown_Hill_Inn-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Hotel_Review-g28970-d1095352-Reviews-Georgetown_Hill_Inn-Washington_DC_District_of_Columbia.html,4,354
Kimpton La Peer Hotel,WestHollywood,"627 N La Peer Dr, West Hollywood, CA 90069-5601",16,19,5,18,15,0,2,0,0,https://www.tripadvisor.com/Hotel_Review-g33252-d12422615-Reviews-Kimpton_La_Peer_Hotel-West_Hollywood_California.html,https://www.tripadvisor.com/Hotel_Review-g33252-d12422615-Reviews-Kimpton_La_Peer_Hotel-West_Hollywood_California.html,3,105
"The Standard, Hollywood",WestHollywood,"8300 W Sunset Blvd, West Hollywood, CA 90069-1516",17,19,3.5,859,220,206,119,100,110,https://www.tripadvisor.com/Hotel_Review-g33252-d111775-Reviews-The_Standard_Hollywood-West_Hollywood_California.html,https://www.tripadvisor.com/Hotel_Review-g33252-d111775-Reviews-The_Standard_Hollywood-West_Hollywood_California.html,3,139
Alta Cienega Motel,WestHollywood,"1005 N La Cienega Blvd, West Hollywood, CA 90069-4105",18,19,2.5,79,7,9,16,10,22,https://www.tripadvisor.com/Hotel_Review-g33252-d119438-Reviews-Alta_Cienega_Motel-West_Hollywood_California.html,https://www.tripadvisor.com/Hotel_Review-g33252-d119438-Reviews-Alta_Cienega_Motel-West_Hollywood_California.html,4,21
Holloway Motel,WestHollywood,"8465 Santa Monica Blvd, West Hollywood, CA",19,19,2.5,85,10,10,17,14,33,https://www.tripadvisor.com/Hotel_Review-g33252-d150562-Reviews-Holloway_Motel-West_Hollywood_California.html,https://www.tripadvisor.com/Hotel_Review-g33252-d150562-Reviews-Holloway_Motel-West_Hollywood_California.html,4,22
